rule_type,rule_name,folds,f1_mean,f1_std,precision_mean,recall_mean,accuracy_mean,tp_total,fp_total,tn_total,fn_total,n_folds_successful
or_2,anom_swh_p80_trend_3 > t1 OR anom_swh_sd_trend_14 > t2,6,0.4924893395264369,0.03831391384756912,0.36745736095300047,0.7790602453102453,0.6831050228310502,335,608,1161,86,6
single,anom_swh_max_deseasonalized_trend_7 > threshold,6,0.4915065554124933,0.041097488657299945,0.4359232770094008,0.5790133477633478,0.7721461187214612,246,324,1445,175,6
single,anom_swh_max_deseasonalized_detrended_trend_7 > threshold,6,0.4915065554124933,0.041097488657299945,0.4359232770094008,0.5790133477633478,0.7721461187214612,246,324,1445,175,6
single,anom_swh_p75_deseasonalized_detrended_trend_7 > threshold,6,0.4876983993167216,0.04450753514701424,0.42308400113923184,0.6252597402597403,0.7397260273972602,273,422,1347,148,6
single,anom_swh_p75_deseasonalized_trend_7 > threshold,6,0.4876983993167216,0.04450753514701424,0.42308400113923184,0.6252597402597403,0.7397260273972602,273,422,1347,148,6
piecewise,anom_swh_p80_deseasonalized_detrended_trend_7 > t1 if anom_swh_p80_deseasonalized_trend_7 > t2 else anom_swh_p80_deseasonalized_detrended_trend_7 > t3,6,0.4856084417116815,0.044750707057044176,0.4579654598599838,0.5471861471861471,0.7757990867579908,241,311,1458,180,6
majority_3,"Majority of anom_swh_max_waverys, anom_swh_p80_deseasonalized_detrended_trend_7, anom_swh_p80_deseasonalized_trend_7",6,0.4856084417116815,0.044750707057044176,0.4579654598599838,0.5471861471861471,0.7757990867579908,241,311,1458,180,6
majority_3,"Majority of anom_swh_p80_deseasonalized_detrended_trend_7, anom_swh_p80_deseasonalized_trend_7, anom_swh_max_swan",6,0.4856084417116815,0.044750707057044176,0.4579654598599838,0.5471861471861471,0.7757990867579908,241,311,1458,180,6
single,anom_swh_p80_deseasonalized_trend_7 > threshold,6,0.4856084417116815,0.044750707057044176,0.4579654598599838,0.5471861471861471,0.7757990867579908,241,311,1458,180,6
piecewise,anom_swh_p80_deseasonalized_trend_7 > t1 if anom_swh_max_swan > t2 else anom_swh_p80_deseasonalized_trend_7 > t3,6,0.4856084417116815,0.044750707057044176,0.4579654598599838,0.5471861471861471,0.7757990867579908,241,311,1458,180,6
single,anom_swh_p80_deseasonalized_detrended_trend_7 > threshold,6,0.4856084417116815,0.044750707057044176,0.4579654598599838,0.5471861471861471,0.7757990867579908,241,311,1458,180,6
majority_3,"Majority of anom_swh_p80_trend_3, anom_swh_p80_deseasonalized_detrended_trend_3, anom_swh_p80_deseasonalized_trend_3",6,0.4850259097566176,0.0547720268748497,0.5720195848119826,0.4547095959595959,0.8159817351598173,199,181,1588,222,6
majority_3,"Majority of anom_swh_p80_deseasonalized_detrended_trend_3, anom_swh_p80_deseasonalized_trend_3, anom_swh_p80_trend_5",6,0.4850259097566176,0.0547720268748497,0.5720195848119826,0.4547095959595959,0.8159817351598173,199,181,1588,222,6
piecewise,anom_swh_p80_deseasonalized_detrended_trend_3 > t1 if anom_swh_p80_deseasonalized_trend_3 > t2 else anom_swh_p80_deseasonalized_detrended_trend_3 > t3,6,0.4850259097566176,0.0547720268748497,0.5720195848119826,0.4547095959595959,0.8159817351598173,199,181,1588,222,6
piecewise,anom_swh_p80_deseasonalized_trend_3 > t1 if anom_swh_p80_trend_5 > t2 else anom_swh_p80_deseasonalized_trend_3 > t3,6,0.4850259097566176,0.0547720268748497,0.5720195848119826,0.4547095959595959,0.8159817351598173,199,181,1588,222,6
single,anom_swh_p80_deseasonalized_trend_3 > threshold,6,0.4850259097566176,0.0547720268748497,0.5720195848119826,0.4547095959595959,0.8159817351598173,199,181,1588,222,6
single,anom_swh_p80_deseasonalized_detrended_trend_3 > threshold,6,0.4850259097566176,0.0547720268748497,0.5720195848119826,0.4547095959595959,0.8159817351598173,199,181,1588,222,6
single,anom_swh_mean_trend_5 > threshold,6,0.4847741672044817,0.028578253459039665,0.44759886107902197,0.5684415584415584,0.7721461187214612,241,319,1450,180,6
or_2,anom_swh_p80_trend_3 > t1 OR anom_swh_p80_deseasonalized_detrended_trend_7_lag_1 > t2,6,0.48441721099675483,0.056481289558557586,0.35679454284679496,0.8070310245310245,0.6429223744292237,350,711,1058,71,6
single,anom_swh_p75_abs_change_3 > threshold,6,0.4839391060001376,0.04159993153099839,0.5132657256107891,0.4775450937950938,0.8050228310502283,205,211,1558,216,6
single,anom_swh_max_deseasonalized_detrended_trend_5 > threshold,6,0.4827237846498568,0.04737778152823086,0.42419895739714714,0.5929491341991342,0.7465753424657535,256,390,1379,165,6
single,anom_swh_max_deseasonalized_trend_5 > threshold,6,0.4827237846498568,0.04737778152823086,0.42419895739714714,0.5929491341991342,0.7465753424657535,256,390,1379,165,6
single,anom_swh_p75_trend_3 > threshold,6,0.4822726813302926,0.05346262020376212,0.5427013041872188,0.47917027417027414,0.8059360730593608,210,214,1555,211,6
single,anom_swh_mean_deseasonalized_abs_change_5 > threshold,6,0.4821330983555325,0.05142596246290439,0.5270994964813137,0.5074783549783549,0.7908675799086757,224,261,1508,197,6
