date,estimated_probability,calibrated_probability,optimal_threshold,predicted_event,observed_event,feature_set,lr_variant,cv_f1_score
2024-07-23,0.02836148754187828,0.02617400802295079,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-07-24,0.007079749927966007,0.004775357680836893,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-07-25,0.004894344369405718,0.0030809156080822317,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-07-26,0.006957872628559019,0.004601853656408801,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-07-27,0.010380310443780977,0.007377781119568258,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-07-28,0.014621690836470334,0.011300258390074702,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-07-29,0.009907759494146589,0.007067196288497772,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-07-30,0.013667397938285388,0.010204573958765421,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-07-31,0.012172295205136753,0.008941178556081389,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-08-01,0.0037180811389815986,0.0022438546094377555,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-08-02,0.0014869798590978285,0.0007761192237435629,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-08-03,0.0033218730786501818,0.0019166855157788272,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-08-04,0.020594216548927218,0.018119275105223678,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-08-05,0.032048351430558224,0.032762175656917865,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-08-06,0.020141370844111356,0.017201564768360697,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-08-07,0.027242674193769988,0.02363848360262788,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-08-08,0.012756655448389949,0.009619897332144795,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-08-09,0.004184737223115872,0.0026224231719303875,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-08-10,0.0035634448162219644,0.0021236602485082117,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-08-11,0.004498541610067261,0.0027576528123396515,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-08-12,0.006568320077551062,0.004323713541826636,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-08-13,0.0058210730650531785,0.003778014939554765,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-08-14,0.002467646385708274,0.0013658926892858557,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-08-15,0.0017548942388633166,0.0009134523937096561,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-08-16,0.003954239979966612,0.0023609784855830825,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-08-17,0.008766859356607265,0.00639281507921233,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-08-18,0.009257521514041437,0.006879780797688886,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-08-19,0.006048848897802773,0.003959958542142083,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-08-20,0.005512771168380646,0.003478712713978266,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-08-21,0.005236968402051107,0.0032774204938625395,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-08-22,0.008699310968484046,0.005997787039604276,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-08-23,0.018744414335766114,0.015475061070803466,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-08-24,0.011840877714688579,0.00884821924978974,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-08-25,0.004584889968584083,0.002816974262847977,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
