rule_name,rule_type,n_folds_successful,f1_mean,precision_mean,recall_mean,accuracy_mean,f1_std,precision_std,recall_std,accuracy_std,f1_min,f1_max,f1_stability,tp_total,fp_total,tn_total,fn_total
anom_swh_p25_deseasonalized_detrended_max_5d > threshold,single,6,0.19787959213788384,0.1446162325262533,0.7024801587301587,0.8808219178082192,0.1764468548604735,0.1698093395914208,0.27145478587557514,0.05320291177868139,0.038461538461538464,0.5142857142857142,1.1214621582923607,32,242,1897,19
swh_iqr_deseasonalized_detrended_max_14d > threshold,single,6,0.11600360693827433,0.07173608911413788,0.6246031746031746,0.8470319634703195,0.06875024310944937,0.04717048531380812,0.3129178989591999,0.05389443380926681,0.034482758620689655,0.19753086419753085,1.6872946828554212,24,308,1831,27
anom_swh_mean_deseasonalized_detrended_max_14d > threshold,single,6,0.16604835118109454,0.11584138486312401,0.6906746031746032,0.8351598173515983,0.1546122883814809,0.12055319177681664,0.28875408397605323,0.06895007408685085,0.02666666666666667,0.38461538461538464,1.0739591203273529,31,341,1798,20
swh_p75_deseasonalized_detrended_std_3d > threshold,single,6,0.12781262465751797,0.08513694168028406,0.6220238095238095,0.8648401826484018,0.08058093232788895,0.06626620090577919,0.31693843511844505,0.04124781658679895,0.045454545454545456,0.23255813953488372,1.5861201260035154,21,266,1873,30
anom_swh_p75_deseasonalized_detrended_min_2d > threshold,single,6,0.15899546296404285,0.11538025179329525,0.6357142857142857,0.8726027397260275,0.13782480006283018,0.12105301307871397,0.32175468465510443,0.05984279148109616,0.043478260869565216,0.4,1.1535972429803572,26,254,1885,25
swh_p60_deseasonalized_detrended_max_2d > threshold,single,6,0.2179312534151244,0.16836246574754235,0.7040674603174603,0.8963470319634702,0.18763411894710194,0.17853091786303874,0.3083816878490107,0.047276484546947675,0.044444444444444446,0.5142857142857142,1.1614630280196296,32,208,1931,19
clima_swh_mean_swan > threshold,single,6,0.0871594383287189,0.04994423640839533,0.7867063492063493,0.6968036529680365,0.07056591802974402,0.04049152037176064,0.3489621936869765,0.1814821211724395,0.02702702702702703,0.21138211382113822,1.2351317127379875,31,644,1495,20
clima_swh_mean_deseasonalized_detrended_min_7d > threshold,single,6,0.06315036247736942,0.03498908400516304,0.6307539682539682,0.5835616438356164,0.07318008143936526,0.04138494804263893,0.4154270107792203,0.1159393011936355,0.0,0.19718309859154928,0.8629328951594291,30,891,1248,21
anom_swh_p80_deseasonalized_detrended_max_7d > threshold,single,6,0.1946777634177745,0.147223421978531,0.6438492063492064,0.8872146118721461,0.18273917375156934,0.16222133534922373,0.30070817460391824,0.04489864039061764,0.03225806451612903,0.5128205128205128,1.0653254805505112,27,223,1916,24
swh_p75_deseasonalized_detrended_std_2d > threshold,single,6,0.1208428826075885,0.08160329284468833,0.5275793650793651,0.8721461187214613,0.07476693825488485,0.06452648981850435,0.26970044761492074,0.07177175863866789,0.05714285714285714,0.22727272727272727,1.6162393323677533,19,248,1891,32
anom_swh_min_swan > threshold,single,6,0.22480020755882824,0.18043333450803742,0.7121031746031745,0.9050228310502283,0.18244857791709224,0.17869560493397726,0.27343703096277666,0.04612731056146078,0.05128205128205128,0.5405405405405406,1.232122376632632,29,186,1953,22
